Work_ID,Vendor_Name,Constituency,duplicate_risk_score,nearest_duplicate_work_id,nearest_similarity,duplicate_checked
WS/MP620/2024-2025/133166,SHRINIVAS S MAVINAKAI CONTRACTOR,DHARWAD,0.0,WS/MP18239/2025-2026/228517,0.2525324523448944,True
WS/MP620/2025-2026/133167,Unknown,DHARWAD,0.0,WS/MP18158/2025-2026/196393,0.20287498831748962,True
WS/MP620/2024-2025/133190,Unknown,DHARWAD,0.0,,0.0,False
WS/MP620/2025-2026/133191,NEELAPPA G BADIGER,DHARWAD,0.0,,0.0,False
WS/MP620/2024-2025/133301,MALLAPPA BASAPPA HARIJAN,DHARWAD,0.0,,0.0,False
WS/MP620/2024-2025/133303,Rudresh Vijapur,DHARWAD,0.0,,0.0,False
WS/MP620/2024-2025/133304,Ashok G Dodawad,DHARWAD,0.0,,0.0,False
WS/MP620/2025-2026/133305,Unknown,DHARWAD,0.0,,0.0,False
WS/MP620/2024-2025/133306,Manjunath Bhimappa Godikatti,DHARWAD,0.0,,0.0,False
WS/MP620/2024-2025/133307,Shivanagouda Janagoudra,DHARWAD,0.0,,0.0,False
WS/MP620/2024-2025/133308,Adavayya Hiremath,DHARWAD,0.0,,0.0,False
WS/MP620/2024-2025/133309,ANAND TANAJI DURGAI,DHARWAD,0.0,,0.0,False
WS/MP620/2024-2025/133310,VINOD S CHAVAN,DHARWAD,0.0,,0.0,False
WS/MP620/2024-2025/133311,Unknown,DHARWAD,0.0,WS/MP620/2024-2025/133312,0.6960923671722412,True
WS/MP620/2024-2025/133312,Shivanand P Madar,DHARWAD,0.0,WS/MP620/2024-2025/133311,0.6960923671722412,True
WS/MP418/2024-2025/133409,MD AHSAN REZA,ARARIA,0.0,,0.0,False
WS/MP498/2024-2025/133447,RATAN KUMAR SAHA,BALURGHAT,0.0,,0.0,False
WS/MP577/2025-2026/133549,GRAM PANCHAYAT KHANGELA,DAHOD(ST),0.0,WS/MP620/2024-2025/133311,0.24238073825836182,True
WS/MP577/2025-2026/133550,Unknown,DAHOD(ST),0.0,,0.0,False
WS/MP577/2025-2026/133551,GRAM PANCHAYAT KHANGELA,DAHOD(ST),0.0,,0.0,False
WS/MP577/2025-2026/133552,Unknown,DAHOD(ST),0.0,,0.0,False
WS/MP577/2025-2026/133553,Unknown,DAHOD(ST),0.0,WS/MP577/2025-2026/133558,0.7554948329925537,True
WS/MP577/2025-2026/133554,Unknown,DAHOD(ST),0.0,WS/MP577/2025-2026/133553,0.6947507858276367,True
WS/MP577/2025-2026/133556,Unknown,DAHOD(ST),0.0,,0.0,False
WS/MP577/2025-2026/133557,Unknown,DAHOD(ST),0.0,,0.0,False
WS/MP577/2025-2026/133558,Unknown,DAHOD(ST),0.0,WS/MP577/2025-2026/133553,0.7554948329925537,True
WS/MP577/2025-2026/133559,Unknown,DAHOD(ST),0.0,,0.0,False
WS/MP577/2025-2026/133560,Unknown,DAHOD(ST),0.0,WS/MP577/2025-2026/133561,0.8273582458496094,True
WS/MP577/2025-2026/133561,Unknown,DAHOD(ST),0.0,WS/MP577/2025-2026/133560,0.8273582458496094,True
WS/MP577/2025-2026/133562,Unknown,DAHOD(ST),0.0,WS/MP577/2025-2026/133569,0.8425008654594421,True
