State,Constituency,Constituency_ID,District_Code,Latitude,Longitude,Spatial_Cluster_ID,Zone_Fraud_Risk_Score
Karnataka,DHARWAD,CONST_0,DIST_0,33.9211,77.794,CLUSTER_40,34.48
Bihar,ARARIA,CONST_1,DIST_1,16.4118,75.8031,CLUSTER_31,82.81
West Bengal,BALURGHAT,CONST_2,DIST_2,8.0924,72.7981,CLUSTER_41,54.89
Gujarat,DAHOD(ST),CONST_3,DIST_3,9.9467,96.1412,CLUSTER_36,13.79
Punjab,FARIDKOT(SC),CONST_4,DIST_4,14.6635,72.3991,CLUSTER_23,32.93
Madhya Pradesh,KHARGONE(ST),CONST_5,DIST_5,32.4537,76.323,CLUSTER_32,57.63
Bihar,JHANJHARPUR,CONST_6,DIST_6,35.3535,83.9687,CLUSTER_33,67.13
Bihar,BUXAR,CONST_7,DIST_7,22.0179,77.7541,CLUSTER_47,85.63
Kerala,PATHANAMTHITTA,CONST_8,DIST_8,36.1283,73.4633,CLUSTER_14,69.74
Kerala,KOLLAM,CONST_9,DIST_9,32.0283,89.2048,CLUSTER_39,32.77
Tamil Nadu,TENKASI(SC),CONST_10,DIST_10,29.967,83.0311,CLUSTER_9,12.79
Haryana,SONEPAT,CONST_11,DIST_11,35.9644,93.7827,CLUSTER_2,37.03
West Bengal,JOYNAGAR(SC),CONST_12,DIST_12,34.1939,80.0586,CLUSTER_13,19.85
Rajasthan,PALI,CONST_13,DIST_13,27.4143,86.6851,CLUSTER_20,50.4
Haryana,ROHTAK,CONST_14,DIST_14,25.8639,68.2796,CLUSTER_14,53.07
West Bengal,BOLPUR(SC),CONST_15,DIST_15,34.9963,75.7887,CLUSTER_23,31.4
Rajasthan,ALWAR,CONST_16,DIST_16,31.6941,79.0933,CLUSTER_36,13.1
Chhattisgarh,JANJGIR CHAMPA(SC),CONST_17,DIST_17,15.0059,74.9473,CLUSTER_8,12.54
Tamil Nadu,TIRUVANNAMALAI,CONST_18,DIST_18,16.8092,92.7949,CLUSTER_41,22.31
Bihar,PURVI CHAMPARAN,CONST_19,DIST_19,32.365,71.081,CLUSTER_8,41.19
Andhra Pradesh,CHITTOOR,CONST_20,DIST_20,18.3736,83.9417,CLUSTER_17,42.73
Maharashtra,PARBHANI,CONST_21,DIST_21,8.4527,92.062,CLUSTER_11,54.89
Uttar Pradesh,SHAHJAHANPUR(SC),CONST_22,DIST_22,36.6419,82.8807,CLUSTER_17,19.64
West Bengal,COOCHBEHAR(SC),CONST_23,DIST_23,8.3584,79.7672,CLUSTER_41,51.57
Punjab,FIROZPUR,CONST_24,DIST_24,10.6713,93.6751,CLUSTER_33,87.63
West Bengal,BASIRHAT,CONST_25,DIST_25,30.9511,95.9737,CLUSTER_22,54.33
Uttar Pradesh,KUSHI NAGAR,CONST_26,DIST_26,18.0494,95.7288,CLUSTER_25,47.24
Haryana,GURGAON,CONST_27,DIST_27,33.8277,92.1374,CLUSTER_7,51.16
