MP_Name,MP_Total_Allocation,MP_Total_Sanctioned,MP_Total_Disbursed,MP_Total_Projects,MP_Completed_Projects,MP_Completion_Rate,MP_Budget_Utilization_Percent,MP_Performance_Rank
AASHTIKAR PATIL NAGESH BAPURAO,66960862.0,66960862.0,64394099.0,43,25,58.139534883720934,96.16677127005921,137.0
ABDUL RASHID SHEIKH,56764265.46,56764265.46,27445021.0,130,44,33.84615384615385,48.349116786052036,299.0
ABHAY KUMAR SINHA,113177812.0,113177812.0,70556283.0,226,123,54.424778761061944,62.341091202575996,159.0
ABHIJIT GANGOPADHYAY,75696675.78,75696675.78,39484176.78,213,74,34.74178403755869,52.16104455465693,292.0
ADHIKARI SOUMENDU,92814382.0,92814382.0,40643770.0,66,29,43.93939393939394,43.79037938322964,233.0
ADITYA YADAV,101975539.0,101975539.0,85488147.0,100,41,41.0,83.8320128908561,256.0
ADV GOWAAL KAGADA PADAVI,68725530.0,68725530.0,32041066.0,237,189,79.74683544303798,46.62178087240652,39.0
ADV K FRANCIS GEORGE,77526602.0,77526602.0,37467974.0,174,52,29.88505747126437,48.32918383292486,328.0
AFZAL ANSARI,144536811.0,144536811.0,106123284.0,249,35,14.056224899598394,73.42301470868898,436.0
AGA SYED RUHULLAH MEHDI,64992918.1,64992918.1,20822671.0,149,65,43.624161073825505,32.03836911578832,240.0
AJENDRA SINGH LODHI,79561000.0,79561000.0,48355823.0,109,19,17.431192660550458,60.77829966943603,416.0
AKHILESH YADAV,90196690.0,90196690.0,31559060.0,112,39,34.82142857142857,34.98915536700959,291.0
AKSHAYA YADAV,96154158.0,96154158.0,95931875.0,42,37,88.09523809523809,99.76882642974212,21.0
ALFRED KANNGAM S ARTHUR,98151963.0,98151963.0,83951963.0,31,15,48.38709677419355,85.53263779349987,202.0
ALOK SHARMA,110367254.0,110367254.0,59319977.0,76,22,28.947368421052634,53.74780548585544,336.0
AMAR SHARADRAO KALE,43320142.0,43320142.0,32855968.0,54,29,53.70370370370371,75.84455286411573,165.0
AMARSING TISSO,80983742.0,80983742.0,70190709.0,86,41,47.674418604651166,86.67259287672827,206.0
AMBICA G LAKSHMINARAYANA VALMIKI,126231969.0,126231969.0,59740475.0,155,41,26.451612903225808,47.325947201219684,353.0
AMRARAM,73077472.0,73077472.0,38165228.0,143,49,34.26573426573427,52.22570917614665,296.0
AMRINDER SINGH RAJA WARRING,78443249.0,78443249.0,30969262.0,205,55,26.82926829268293,39.47983082648705,349.0
ANAND BHADAURIYA,95856159.33,95856159.33,76758938.0,175,132,75.42857142857143,80.07720999518165,54.0
ANAND KUMAR,88592128.0,88592128.0,66987751.0,73,32,43.83561643835616,75.61366061779214,234.0
ANANTA NAYAK,69200000.0,69200000.0,29211360.0,188,17,9.042553191489363,42.21294797687861,465.0
ANDREW J. SYNGKON,92550000.0,92550000.0,70355000.0,229,95,41.48471615720524,76.01836844948676,254.0
ANGOMCHA BIMOL AKOIJAM,103997987.0,103997987.0,92309433.0,43,18,41.86046511627907,88.76078822564133,252.0
ANIL BALUNI,11195000.0,11195000.0,2739441.0,10,1,10.0,24.470218847699865,457.0
ANIL YESHWANT DESAI,51300000.0,51300000.0,7792570.0,20,0,0.0,15.19019493177388,500.0
ANITA NAGARSINGH CHOUHAN,87801631.0,87801631.0,53134058.0,201,74,36.81592039800995,60.516026177235815,285.0
ANITA SUBHADARSHINI,49700000.0,49700000.0,12818448.0,140,17,12.142857142857142,25.791645875251508,447.0
ANOOP PRADHAN BALMIKI,134744105.0,134744105.0,97915147.0,99,69,69.6969696969697,72.6674810745895,75.0
ANUP SANJAY DHOTRE,68221749.0,68221749.0,49091166.0,71,41,57.74647887323944,71.95823431615628,140.0
ARUN BHARTI,146731859.0,146731859.0,122119953.0,321,218,67.91277258566979,83.22661065719885,79.0
ARUN GOVIL,85482221.0,85482221.0,66737649.0,117,36,30.76923076923077,78.07196422750879,319.0
ARUN NEHRU,84445157.0,84445157.0,67653424.0,62,54,87.09677419354838,80.11522081722224,22.0
ARUNA. D. K,98750311.0,98750311.0,43257608.0,283,127,44.87632508833922,43.805034700093245,221.0
ARUP CHAKRABORTY,93775897.0,93775897.0,55795450.0,69,40,57.971014492753625,59.4987110600499,139.0
ASHISH DUBEY,34739823.0,34739823.0,20531655.0,153,13,8.49673202614379,59.10120785589494,467.0
ATUL GARG,66287262.0,66287262.0,42043789.0,70,36,51.42857142857142,63.42664899932057,186.0
AVIMANYU SETHI,63912000.0,63912000.0,21607575.0,219,27,12.32876712328767,33.80832238077357,445.0
AWADHESH PRASAD,104163284.0,104163284.0,92097873.0,156,97,62.17948717948718,88.41682929274772,109.0
AZAD KIRTI JHA,76673485.0,76673485.0,33156887.0,82,6,7.317073170731707,43.24426755872646,475.0
Abu Taher Khan,85763805.0,85763805.0,36162113.0,313,172,54.9520766773163,42.16477219031968,156.0
Adv Adoor Prakash,96910265.0,96910265.0,27639749.0,369,108,29.268292682926827,28.52097143682354,333.0
Adv Dean Kuriakose,84940087.0,84940087.0,58754261.0,140,95,67.85714285714286,69.1714160829621,80.0
Ajay Bhatt,89308345.0,89308345.0,49484256.0,349,85,24.355300859598856,55.40832270489393,366.0
Ajay Kumar Mandal,81226490.0,81226490.0,75252620.0,73,38,52.054794520547944,92.64541653837314,181.0
Ajay Tamta,17271406.0,17271406.0,3884739.0,84,3,3.571428571428571,22.49231475422441,487.0
Alok Kumar Suman,67246396.0,67246396.0,50920280.0,81,43,53.086419753086425,75.7219464965825,172.0
Amol Ramsing Kolhe,23380568.0,23380568.0,20561770.0,28,17,60.71428571428571,87.9438429382896,118.0
Andimuthu Raja,76784459.0,76784459.0,71485310.0,91,73,80.21978021978022,93.09866987537151,38.0
Annpurna Devi,82009917.0,82009917.0,42079828.0,273,85,31.135531135531135,51.31065795372041,317.0
Anto Antony,63434288.0,63434288.0,26984855.0,185,60,32.432432432432435,42.539856362855375,310.0
Anurag Sharma,92350864.0,92350864.0,67201462.0,162,79,48.76543209876543,72.7675509348781,200.0
Anurag Singh Thakur,31181082.0,31181082.0,17964323.0,195,43,22.05128205128205,57.612891688620685,387.0
Appalanaidu Kalisetti,50648979.0,50648979.0,21332783.0,98,35,35.714285714285715,42.1188806194889,287.0
Arvind Dharmapuri,186148566.0,186148566.0,158096817.0,583,476,81.6466552315609,84.93045119670704,36.0
Arvind Ganpat Sawant,28874739.0,28874739.0,28859509.0,18,14,77.77777777777779,99.94725493449482,44.0
Asaduddin Owaisi,19285072.0,19285072.0,11172317.0,8,1,12.5,57.93246195814047,444.0
Ashok Kumar Rawat,145826705.0,145826705.0,85818529.0,4,2,50.0,58.84966611568162,195.0
Ashok Kumar Yadav,75263559.0,75263559.0,70438959.0,134,81,60.447761194029844,93.58972647041578,122.0
Asit Kumar Mal,220854384.0,220854384.0,163517030.0,190,134,70.52631578947368,74.03838992845168,71.0
B K PARTHASARATHI,74578656.0,74578656.0,43804553.0,86,53,61.627906976744185,58.736045068980594,113.0
BABU SINGH KUSHWAHA,93910109.0,93910109.0,46048017.0,679,522,76.8777614138439,49.03414285250164,48.0
BACHHAV SHOBHA DINESH,56830794.0,56830794.0,13135243.0,54,13,24.074074074074073,23.11289720850988,368.0
BAG MITALI,87041065.0,87041065.0,53162451.0,159,85,53.459119496855344,61.07743626528467,169.0
BAIJAYANT PANDA,60320000.0,60320000.0,17127535.0,42,8,19.047619047619047,28.394454575596818,404.0
BAJRANG MANOHAR SONWANE,38063933.0,38063933.0,37977152.0,39,20,51.28205128205128,99.77201252429695,187.0
BALABHADRA MAJHI,86948554.0,86948554.0,14620740.0,205,20,9.75609756097561,16.815391777533183,458.0
BALRAM NAIK PORIKA,79213775.0,79213775.0,71337705.0,311,238,76.52733118971061,90.05719649139307,50.0
BALWANT BASWANT WANKHADE,124755000.0,124755000.0,92820377.0,137,51,37.22627737226277,74.40212977435775,283.0
BALYA MAMA SURESH GOPINATH MHATRE,79894506.0,79894506.0,53396638.0,94,11,11.702127659574469,66.83392973228973,448.0
BAPI HALDAR,64319265.0,64319265.0,38508401.0,141,85,60.28368794326241,59.87071058725563,124.0
BASAVARAJ BOMMAI,68950000.0,68950000.0,57936447.0,116,18,15.517241379310345,84.02675416968818,431.0
BASTIPATI NAGARAJU PANCHALINGALA,50034075.0,50034075.0,44033277.0,154,143,92.85714285714286,88.00657751742187,7.0
BHAJAN LAL JATAV,19518911.0,19518911.0,7253086.0,28,11,39.285714285714285,37.15927594526149,267.0
BHARAT SINGH KUSHWAH,39840458.0,39840458.0,12867595.0,51,4,7.8431372549019605,32.29780892579097,471.0
BHARATBHAI MANUBHAI SUTARIYA,105715549.0,105715549.0,60146765.0,295,150,50.847457627118644,56.89490861935551,189.0
